시도,시군구,업종,당월
강원특별자치도,동해시,약국,40
강원특별자치도,동해시,여관ㆍ모텔,67
강원특별자치도,동해시,여행사,23
강원특별자치도,동해시,예술학원,48
강원특별자치도,동해시,예식장,3
강원특별자치도,동해시,옷가게,223
강원특별자치도,동해시,의료용품가게,8
강원특별자치도,동해시,이륜자동차판매점,6
강원특별자치도,동해시,이발소,68
강원특별자치도,동해시,이비인후과의원,4
강원특별자치도,동해시,일반외과의원,8
강원특별자치도,동해시,일식음식점,47
강원특별자치도,동해시,자동차수리점,116
강원특별자치도,동해시,자전거판매점,5
강원특별자치도,동해시,장난감가게,9
강원특별자치도,동해시,정육점,33
강원특별자치도,동해시,제과점,33
강원특별자치도,동해시,종합병원,6
강원특별자치도,동해시,주유소,34
강원특별자치도,동해시,주차장운영업,5
강원특별자치도,동해시,중고차판매점,8
강원특별자치도,동해시,중식음식점,66
강원특별자치도,동해시,채소가게,29
강원특별자치도,동해시,철물점,26
강원특별자치도,동해시,치과의원,27
강원특별자치도,동해시,침구ㆍ커튼가게,35
강원특별자치도,동해시,커피음료점,189
강원특별자치도,동해시,컴퓨터판매점,11
강원특별자치도,동해시,통신판매업,410
강원특별자치도,동해시,패스트푸드점,124
강원특별자치도,동해시,펜션ㆍ게스트하우스,106
강원특별자치도,동해시,편의점,132
강원특별자치도,동해시,피부ㆍ비뇨기과의원,3
강원특별자치도,동해시,피부관리업,121
강원특별자치도,동해시,한방병원ㆍ한의원,19
강원특별자치도,동해시,한식음식점,1149
강원특별자치도,동해시,헬스클럽,20
강원특별자치도,동해시,호프주점,90
강원특별자치도,동해시,화장품가게,81
강원특별자치도,동해시,휴대폰가게,52
강원특별자치도,삼척시,LPG 충전소,3
강원특별자치도,삼척시,pc방,12
강원특별자치도,삼척시,가구점,6
강원특별자치도,삼척시,가전제품수리점,16
강원특별자치도,삼척시,가전제품판매점,20
강원특별자치도,삼척시,간이주점,4
강원특별자치도,삼척시,간판광고물업,17
강원특별자치도,삼척시,건강보조식품가게,20
강원특별자치도,삼척시,건어물가게,80
강원특별자치도,삼척시,건축사,12
강원특별자치도,삼척시,결혼상담소,0
강원특별자치도,삼척시,곡물가게,18
강원특별자치도,삼척시,공인노무사,5
강원특별자치도,삼척시,과일가게,24
강원특별자치도,삼척시,교습소ㆍ공부방,43
강원특별자치도,삼척시,교습학원,38
강원특별자치도,삼척시,구내식당,24
강원특별자치도,삼척시,기술ㆍ직업훈련학원,23
강원특별자치도,삼척시,기술사,0
강원특별자치도,삼척시,기타외국식음식점,20
강원특별자치도,삼척시,기타음식점,69
강원특별자치도,삼척시,기타일반의원,0
강원특별자치도,삼척시,꽃가게,24
강원특별자치도,삼척시,내과ㆍ소아과의원,10
강원특별자치도,삼척시,노래방,24
강원특별자치도,삼척시,담배ㆍ복권소매업,33
강원특별자치도,삼척시,당구장,23
강원특별자치도,삼척시,독서실,8
강원특별자치도,삼척시,동물병원,3
강원특별자치도,삼척시,목욕탕,11
강원특별자치도,삼척시,문구점,19
강원특별자치도,삼척시,미용실,161
강원특별자치도,삼척시,법무사,4
강원특별자치도,삼척시,변호사,3
강원특별자치도,삼척시,부동산중개업,46
강원특별자치도,삼척시,분식점,97
강원특별자치도,삼척시,사진촬영업,12
강원특별자치도,삼척시,산부인과의원,0
강원특별자치도,삼척시,생선가게,60
강원특별자치도,삼척시,서점,7
강원특별자치도,삼척시,세무사,7
강원특별자치도,삼척시,세탁소,37
강원특별자치도,삼척시,슈퍼마켓,40
강원특별자치도,삼척시,스포츠교육기관,29
강원특별자치도,삼척시,스포츠시설운영업,7
강원특별자치도,삼척시,스포츠용품점,53
강원특별자치도,삼척시,시계ㆍ귀금속점,12
강원특별자치도,삼척시,식료품가게,155
강원특별자치도,삼척시,신경정신과의원,0
강원특별자치도,삼척시,신발가게,11
강원특별자치도,삼척시,실내스크린골프점,13
강원특별자치도,삼척시,실내장식가게,53
강원특별자치도,삼척시,실외골프연습장,4
강원특별자치도,삼척시,안경점,11
강원특별자치도,삼척시,안과의원,0
강원특별자치도,삼척시,애완용품점,6
강원특별자치도,삼척시,약국,27
강원특별자치도,삼척시,여관ㆍ모텔,49
강원특별자치도,삼척시,여행사,7
강원특별자치도,삼척시,예술학원,29
강원특별자치도,삼척시,예식장,0
강원특별자치도,삼척시,옷가게,122
강원특별자치도,삼척시,의료용품가게,5
강원특별자치도,삼척시,이륜자동차판매점,5
강원특별자치도,삼척시,이발소,28
강원특별자치도,삼척시,이비인후과의원,0
강원특별자치도,삼척시,일반외과의원,6
강원특별자치도,삼척시,일식음식점,66
강원특별자치도,삼척시,자동차수리점,71
강원특별자치도,삼척시,자전거판매점,0
강원특별자치도,삼척시,장난감가게,6
강원특별자치도,삼척시,정육점,30
강원특별자치도,삼척시,제과점,17
강원특별자치도,삼척시,종합병원,3
강원특별자치도,삼척시,주유소,30
강원특별자치도,삼척시,주차장운영업,3
강원특별자치도,삼척시,중고차판매점,0
강원특별자치도,삼척시,중식음식점,34
강원특별자치도,삼척시,채소가게,48
강원특별자치도,삼척시,철물점,19
강원특별자치도,삼척시,치과의원,13
강원특별자치도,삼척시,침구ㆍ커튼가게,18
강원특별자치도,삼척시,커피음료점,127
강원특별자치도,삼척시,컴퓨터판매점,5
강원특별자치도,삼척시,통신판매업,210
강원특별자치도,삼척시,패스트푸드점,100
강원특별자치도,삼척시,펜션ㆍ게스트하우스,262
강원특별자치도,삼척시,편의점,102
강원특별자치도,삼척시,피부ㆍ비뇨기과의원,0
강원특별자치도,삼척시,피부관리업,50
강원특별자치도,삼척시,한방병원ㆍ한의원,11
강원특별자치도,삼척시,한식음식점,875
강원특별자치도,삼척시,헬스클럽,11
강원특별자치도,삼척시,호프주점,95
강원특별자치도,삼척시,화장품가게,45
강원특별자치도,삼척시,휴대폰가게,17
강원특별자치도,속초시,LPG 충전소,5
강원특별자치도,속초시,pc방,27
강원특별자치도,속초시,가구점,8
강원특별자치도,속초시,가전제품수리점,39
강원특별자치도,속초시,가전제품판매점,30
강원특별자치도,속초시,간이주점,19
강원특별자치도,속초시,간판광고물업,42
강원특별자치도,속초시,감정평가사,0
강원특별자치도,속초시,건강보조식품가게,21
강원특별자치도,속초시,건어물가게,155
강원특별자치도,속초시,건축사,22
강원특별자치도,속초시,결혼상담소,0
강원특별자치도,속초시,곡물가게,10
강원특별자치도,속초시,과일가게,16
강원특별자치도,속초시,교습소ㆍ공부방,76
강원특별자치도,속초시,교습학원,72
강원특별자치도,속초시,구내식당,27
