업종,시도,당월
구내식당,세종특별자치시,77
구내식당,울산광역시,321
구내식당,인천광역시,1111
구내식당,전라남도,518
구내식당,전라북도,640
구내식당,제주특별자치도,134
구내식당,충청남도,838
구내식당,충청북도,598
기술ㆍ직업훈련학원,강원특별자치도,781
기술ㆍ직업훈련학원,경기도,5618
기술ㆍ직업훈련학원,경상남도,1335
기술ㆍ직업훈련학원,경상북도,1007
기술ㆍ직업훈련학원,광주광역시,702
기술ㆍ직업훈련학원,대구광역시,1150
기술ㆍ직업훈련학원,대전광역시,674
기술ㆍ직업훈련학원,부산광역시,1471
기술ㆍ직업훈련학원,서울특별시,4694
기술ㆍ직업훈련학원,세종특별자치시,220
기술ㆍ직업훈련학원,울산광역시,536
기술ㆍ직업훈련학원,인천광역시,997
기술ㆍ직업훈련학원,전라남도,730
기술ㆍ직업훈련학원,전라북도,823
기술ㆍ직업훈련학원,제주특별자치도,519
기술ㆍ직업훈련학원,충청남도,971
기술ㆍ직업훈련학원,충청북도,653
기술사,강원특별자치도,35
기술사,경기도,381
기술사,경상남도,94
기술사,경상북도,44
기술사,광주광역시,44
기술사,대구광역시,38
기술사,대전광역시,24
기술사,부산광역시,78
기술사,서울특별시,381
기술사,세종특별자치시,15
기술사,울산광역시,13
기술사,인천광역시,40
기술사,전라남도,42
기술사,전라북도,44
기술사,제주특별자치도,21
기술사,충청남도,30
기술사,충청북도,28
기타외국식음식점,강원특별자치도,993
기타외국식음식점,경기도,7062
기타외국식음식점,경상남도,1578
기타외국식음식점,경상북도,986
기타외국식음식점,광주광역시,512
기타외국식음식점,대구광역시,1406
기타외국식음식점,대전광역시,828
기타외국식음식점,부산광역시,2286
기타외국식음식점,서울특별시,9385
기타외국식음식점,세종특별자치시,241
기타외국식음식점,울산광역시,695
기타외국식음식점,인천광역시,1173
기타외국식음식점,전라남도,572
기타외국식음식점,전라북도,880
기타외국식음식점,제주특별자치도,973
기타외국식음식점,충청남도,922
기타외국식음식점,충청북도,721
기타음식점,강원특별자치도,913
기타음식점,경기도,4827
기타음식점,경상남도,1645
기타음식점,경상북도,1053
기타음식점,광주광역시,709
기타음식점,대구광역시,970
기타음식점,대전광역시,490
기타음식점,부산광역시,1370
기타음식점,서울특별시,3575
기타음식점,세종특별자치시,132
기타음식점,울산광역시,474
기타음식점,인천광역시,873
기타음식점,전라남도,757
기타음식점,전라북도,706
기타음식점,제주특별자치도,398
기타음식점,충청남도,848
기타음식점,충청북도,668
기타일반의원,강원특별자치도,66
기타일반의원,경기도,728
기타일반의원,경상남도,151
기타일반의원,경상북도,95
기타일반의원,광주광역시,133
기타일반의원,대구광역시,173
기타일반의원,대전광역시,141
기타일반의원,부산광역시,256
기타일반의원,서울특별시,1014
기타일반의원,세종특별자치시,24
기타일반의원,울산광역시,56
기타일반의원,인천광역시,168
기타일반의원,전라남도,101
기타일반의원,전라북도,189
기타일반의원,제주특별자치도,60
기타일반의원,충청남도,114
기타일반의원,충청북도,99
꽃가게,강원특별자치도,903
꽃가게,경기도,6592
꽃가게,경상남도,2058
꽃가게,경상북도,1588
꽃가게,광주광역시,851
꽃가게,대구광역시,1294
꽃가게,대전광역시,856
꽃가게,부산광역시,1602
꽃가게,서울특별시,4902
꽃가게,세종특별자치시,142
꽃가게,울산광역시,624
꽃가게,인천광역시,1188
꽃가게,전라남도,1337
꽃가게,전라북도,1159
꽃가게,제주특별자치도,460
꽃가게,충청남도,1295
꽃가게,충청북도,979
내과ㆍ소아과의원,강원특별자치도,322
