업종,시도,시군구,당월,전월,전년동월
가구점,제주특별자치도,서귀포시,40,43,44
가구점,강원특별자치도,춘천시,44,45,49
가구점,강원특별자치도,원주시,92,93,97
가구점,강원특별자치도,강릉시,49,48,48
가구점,강원특별자치도,동해시,24,24,24
가구점,강원특별자치도,태백시,6,6,6
가구점,강원특별자치도,속초시,8,8,11
가구점,강원특별자치도,삼척시,6,6,6
가구점,강원특별자치도,홍천군,15,15,15
가구점,강원특별자치도,횡성군,6,6,6
가구점,강원특별자치도,영월군,5,5,7
가구점,강원특별자치도,평창군,6,6,8
가구점,강원특별자치도,정선군,9,9,9
가구점,강원특별자치도,철원군,6,6,6
가구점,강원특별자치도,화천군,0,0,0
가구점,강원특별자치도,양구군,0,0,0
가구점,강원특별자치도,인제군,5,5,5
가구점,강원특별자치도,고성군,3,3,4
가구점,강원특별자치도,양양군,3,3,3
가전제품판매점,서울특별시,종로구,72,70,70
가전제품판매점,서울특별시,중구,130,130,136
가전제품판매점,서울특별시,용산구,78,78,80
가전제품판매점,서울특별시,성동구,31,31,37
가전제품판매점,서울특별시,광진구,57,60,66
가전제품판매점,서울특별시,동대문구,41,41,44
가전제품판매점,서울특별시,중랑구,70,70,73
가전제품판매점,서울특별시,성북구,51,53,49
가전제품판매점,서울특별시,강북구,38,38,41
가전제품판매점,서울특별시,도봉구,40,40,40
가전제품판매점,서울특별시,노원구,37,37,39
가전제품판매점,서울특별시,은평구,43,44,42
가전제품판매점,서울특별시,서대문구,38,38,34
가전제품판매점,서울특별시,마포구,44,44,44
가전제품판매점,서울특별시,양천구,51,53,50
가전제품판매점,서울특별시,강서구,81,79,78
가전제품판매점,서울특별시,구로구,66,65,68
가전제품판매점,서울특별시,금천구,50,49,50
가전제품판매점,서울특별시,영등포구,91,89,87
가전제품판매점,서울특별시,동작구,40,41,44
가전제품판매점,서울특별시,관악구,52,52,57
가전제품판매점,서울특별시,서초구,94,97,97
가전제품판매점,서울특별시,강남구,95,96,103
가전제품판매점,서울특별시,송파구,98,95,96
가전제품판매점,서울특별시,강동구,63,62,65
가전제품판매점,부산광역시,중구,43,43,41
가전제품판매점,부산광역시,서구,18,18,19
가전제품판매점,부산광역시,동구,33,32,34
가전제품판매점,부산광역시,영도구,16,16,16
가전제품판매점,부산광역시,부산진구,118,119,119
가전제품판매점,부산광역시,동래구,45,46,45
가전제품판매점,부산광역시,남구,39,41,40
가전제품판매점,부산광역시,북구,27,27,29
가전제품판매점,부산광역시,해운대구,41,42,44
가전제품판매점,부산광역시,사하구,42,42,38
가전제품판매점,부산광역시,금정구,38,38,40
가전제품판매점,부산광역시,강서구,23,22,26
가전제품판매점,부산광역시,연제구,36,36,34
가전제품판매점,부산광역시,수영구,30,30,33
가전제품판매점,부산광역시,사상구,36,36,33
가전제품판매점,부산광역시,기장군,36,36,35
가전제품판매점,대구광역시,중구,70,70,71
가전제품판매점,대구광역시,동구,52,52,55
가전제품판매점,대구광역시,서구,41,40,39
가전제품판매점,대구광역시,남구,30,29,30
가전제품판매점,대구광역시,북구,128,128,141
가전제품판매점,대구광역시,수성구,47,46,44
가전제품판매점,대구광역시,달서구,76,76,75
가전제품판매점,대구광역시,달성군,46,46,46
가전제품판매점,대구광역시,군위군,3,3,4
가전제품판매점,인천광역시,중구,21,21,23
가전제품판매점,인천광역시,동구,17,16,18
가전제품판매점,인천광역시,미추홀구,54,54,51
가전제품판매점,인천광역시,연수구,46,44,42
가전제품판매점,인천광역시,남동구,86,85,81
가전제품판매점,인천광역시,부평구,66,66,59
가전제품판매점,인천광역시,계양구,52,52,52
가전제품판매점,인천광역시,서구,72,72,70
가전제품판매점,인천광역시,강화군,21,21,21
가전제품판매점,인천광역시,옹진군,6,6,6
가전제품판매점,광주광역시,동구,37,38,36
가전제품판매점,광주광역시,서구,102,100,93
가전제품판매점,광주광역시,남구,35,35,41
가전제품판매점,광주광역시,북구,122,125,116
가전제품판매점,광주광역시,광산구,75,72,73
가전제품판매점,대전광역시,동구,51,54,56
가전제품판매점,대전광역시,중구,64,63,61
가전제품판매점,대전광역시,서구,97,97,93
가전제품판매점,대전광역시,유성구,50,49,45
가전제품판매점,대전광역시,대덕구,62,59,62
가전제품판매점,울산광역시,중구,64,65,71
가전제품판매점,울산광역시,남구,64,65,68
가전제품판매점,울산광역시,동구,17,17,16
가전제품판매점,울산광역시,북구,31,32,26
가전제품판매점,울산광역시,울주군,36,36,33
가전제품판매점,세종특별자치시,세종시,48,49,54
가전제품판매점,경기도,수원시 장안구,38,38,33
가전제품판매점,경기도,수원시 권선구,72,71,72
가전제품판매점,경기도,수원시 팔달구,41,42,41
가전제품판매점,경기도,수원시 영통구,38,37,36
가전제품판매점,경기도,성남시 수정구,29,30,30
가전제품판매점,경기도,성남시 중원구,43,45,42
가전제품판매점,경기도,성남시 분당구,37,36,34
가전제품판매점,경기도,의정부시,72,71,70
가전제품판매점,경기도,안양시 만안구,45,44,51
가전제품판매점,경기도,안양시 동안구,44,45,42
가전제품판매점,경기도,부천시,156,152,160
가전제품판매점,경기도,광명시,52,51,49
가전제품판매점,경기도,평택시,120,116,104
가전제품판매점,경기도,동두천시,25,25,26
가전제품판매점,경기도,안산시 상록구,66,65,62
가전제품판매점,경기도,안산시 단원구,42,42,39
가전제품판매점,경기도,고양시 덕양구,87,89,85
가전제품판매점,경기도,고양시 일산동구,73,73,75
가전제품판매점,경기도,고양시 일산서구,45,45,46
가전제품판매점,경기도,과천시,5,5,4
가전제품판매점,경기도,구리시,57,57,59
가전제품판매점,경기도,남양주시,189,191,181
가전제품판매점,경기도,오산시,40,40,40
가전제품판매점,경기도,시흥시,77,78,71
가전제품판매점,경기도,군포시,25,24,26
가전제품판매점,경기도,의왕시,18,19,22
가전제품판매점,경기도,하남시,57,58,57
가전제품판매점,경기도,용인시 처인구,46,45,48
가전제품판매점,경기도,용인시 기흥구,48,47,46
가전제품판매점,경기도,용인시 수지구,22,23,28
가전제품판매점,경기도,파주시,78,77,76
가전제품판매점,경기도,이천시,42,42,40
가전제품판매점,경기도,안성시,38,39,39
가전제품판매점,경기도,김포시,93,92,83
가전제품판매점,경기도,화성시,133,134,129
가전제품판매점,경기도,광주시,78,78,78
가전제품판매점,경기도,양주시,56,55,50
가전제품판매점,경기도,포천시,35,35,28
가전제품판매점,경기도,여주시,25,25,28
가전제품판매점,경기도,연천군,12,12,12
가전제품판매점,경기도,가평군,15,15,13
가전제품판매점,경기도,양평군,21,22,22
가전제품판매점,충청북도,청주시 상당구,56,57,58
가전제품판매점,충청북도,청주시 서원구,55,55,56
가전제품판매점,충청북도,청주시 흥덕구,58,57,52
가전제품판매점,충청북도,청주시 청원구,53,53,50
